Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name,Average Data Speed Download,Average Data Speed Upload,Population,Literacy Rate,Rainfall,Area of the state,Average_Signal
Airtel,Indoor,4G,3,Satisfactory,0.196227537,0.325356036,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Vodafone,Indoor,4G,1,Call Dropped,0.632906868,0.135431568,Gujarat,0.211519457,0.370879261,2,8,2,0.51804032,0.477251696
Airtel,Indoor,3G,1,Call Dropped,0.12709262,0.290670619,Tamil Nadu,0.036321276,0.062303489,2,8,2,0.300607167,0.478453945
Airtel,Indoor,4G,3,Satisfactory,0.58018072,0.155327193,Gujarat,0.175516822,0.191200478,2,8,2,0.51804032,0.477699176
Airtel,Travelling,4G,3,Satisfactory,0.425736788,0.18050301,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Travelling,4G,3,Satisfactory,0.425748492,0.180519634,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Travelling,4G,5,Satisfactory,0.42578578,0.180503578,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Travelling,4G,4,Satisfactory,0.42578578,0.180503578,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,5,Satisfactory,0.096304698,0.309987093,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
RJio,Indoor,4G,5,Satisfactory,0.886028885,0.300366195,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
RJio,Outdoor,4G,5,Satisfactory,0.962451982,0.235865978,Punjab,0.445519017,0.396685158,0,7,1,0.03790346,0.477425661
Airtel,Travelling,3G,5,Satisfactory,0.096173326,0.309865748,Tamil Nadu,0.036321276,0.062303489,2,8,2,0.300607167,0.478453945
Airtel,Travelling,4G,4,Satisfactory,0.42578578,0.180503578,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
RJio,Indoor,4G,5,Satisfactory,0.447651748,0.144663711,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Outdoor,4G,5,Satisfactory,0.962451982,0.235865978,Punjab,0.445519017,0.396685158,0,7,1,0.03790346,0.477425661
RJio,Outdoor,4G,3,Satisfactory,0.360816217,0.496986257,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Outdoor,4G,4,Satisfactory,0.61928082,0.136547281,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Airtel,Indoor,4G,1,Poor Voice Quality,0.448077908,0.146289666,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,3G,1,Call Dropped,0.448077908,0.146289666,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
RJio,Outdoor,4G,5,Satisfactory,0.962451982,0.235865978,Punjab,0.445519017,0.396685158,0,7,1,0.03790346,0.477425661
RJio,Travelling,4G,5,Satisfactory,0.197255028,0.421263657,Tamil Nadu,0.514401251,0.32387081,2,8,2,0.300607167,0.477966862
RJio,Indoor,4G,5,Satisfactory,0.617337925,0.135991797,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
